Player,GP,TOI,GAR/60
JONATHAN.HUBERDEAU,193,3634.69,0.22
JONATHAN.MARCHESSAULT,251,4429.32,0.27
JONATHAN.TOEWS,228,4628.78,0.14
JON.MERRILL,149,2611.78,0.09
JONNY.BRODZINSKI,54,535.4,-0.04
JOONAS.DONSKOI,219,3076.57,0.27
JORDAN.EBERLE,251,4106.95,0.32
JORDAN.GREENWAY,90,1211.08,-0.04
JORDAN.MARTINOOK,237,3489.93,0.04
JORDAN.NOLAN,129,1286.53,-0.09
JORDAN.OESTERLE,124,2431.4,0
JORDAN.SCHMALTZ,43,510.72,-0.04
JORDAN.SCHROEDER,58,518.85,0.4
JORDAN.STAAL,201,3782.02,0.4
JORDAN.WEAL,153,2039.41,0.27
JORDIE.BENN,232,4305.53,0.04
JORI.LEHTERA,167,2030.35,-0.09
JOSEPH.CRAMAROSSA,59,586.8,-0.22
JOSH.ANDERSON,231,3584.33,0.14
JOSH.ARCHIBALD,121,1523.1,-0.18
JOSH.BAILEY,237,4195.9,0.09
JOSH.GORGES,100,1726.15,0.18
JOSH.JOORIS,94,1049.19,0.04
JOSH.LEIVO,103,1363.62,0.27
JOSH.MANSON,256,5215.75,0.09
JOSH.MORRISSEY,238,4899.84,0.09
JOSHUA.HO-SANG,53,804.96,0.32
J.T..BROWN,170,1621.71,0.04
J.T..COMPHER,157,2548.27,-0.09
J.T..MILLER,267,4299.21,0
JUJHAR.KHAIRA,139,1724.14,-0.09
JULIUS.HONKA,87,1214,0.09
JUSSI.JOKINEN,129,1895.9,0.18
JUSTIN.ABDELKADER,209,3384.23,-0.04
JUSTIN.BRAUN,253,5225.7,-0.09
JUSTIN.FALK,108,1581.62,-0.18
JUSTIN.FAULK,230,5193.72,-0.04
JUSTIN.SCHULTZ,201,4057.54,0.04
JUSTIN.WILLIAMS,254,4213.27,0.32
JUUSO.RIIKOLA,37,617.33,0
JYRKI.JOKIPAKKA,41,591.37,-0.22
KARL.ALZNER,180,3535.25,-0.04
KASPERI.KAPANEN,135,1914.14,0.14
KEITH.YANDLE,244,5615.45,-0.04
KENNY.AGOSTINO,68,867.01,0.14
KEVAN.MILLER,182,3436.8,0
KEVIN.BIEKSA,149,2730.63,-0.32
KEVIN.CONNAUTON,145,2303.32,-0.18
KEVIN.FIALA,231,3434.16,0.27
KEVIN.GRAVEL,101,1452.1,0.04
KEVIN.HAYES,233,4060.3,0.14
KEVIN.KLEIN,61,1076.42,-0.14
KEVIN.LABANC,221,3102.3,0.14
KEVIN.SHATTENKIRK,210,4109.77,-0.04
KIEFER.SHERWOOD,49,556.42,0.04
KLAS.DAHLBECK,76,1137.23,-0.32
KORBINIAN.HOLZER,74,1008.94,-0.32
KRIS.LETANG,195,4981.72,0.18
KRIS.RUSSELL,229,4647,0
KRIS.VERSTEEG,97,1393.7,-0.04
KYLE.BRODZIAK,230,2805.19,-0.04
KYLE.CLIFFORD,197,2070.78,0.14
KYLE.CONNOR,193,3364.76,0.18
KYLE.OKPOSO,217,3577.21,0
KYLE.PALMIERI,221,3891.46,0.5
KYLE.QUINCEY,93,1601.27,-0.14
KYLE.TURRIS,239,4223.87,0.22
LANCE.BOUMA,117,1286.55,0
LARS.ELLER,276,4227.32,0.09
LAURI.KORPIKOSKI,69,856.07,-0.14
LAWRENCE.PILUT,31,544.55,0.04
LAWSON.CROUSE,161,1983.74,0
LEE.STEMPNIAK,119,1760.67,-0.04
LEO.KOMAROV,243,3806.46,-0.09
LEON.DRAISAITL,253,5109.81,0.54
LIAS.ANDERSSON,47,509.99,-0.4
LOGAN.COUTURE,245,4490.45,0.5
LOGAN.SHAW,136,1475.13,-0.09
LOUI.ERIKSSON,193,3124.77,0.04
LUCA.SBISA,132,2456.07,-0.04
LUCAS.WALLMARK,97,1346.46,0.32
LUKAS.SEDLAK,164,1540.54,0.22
LUKE.GLENDENING,220,3084.15,-0.18
LUKE.KUNIN,66,989.11,-0.09
LUKE.SCHENN,165,2768.64,-0.22
LUKE.WITKOWSKI,97,856.26,-0.18
MACKENZIE.WEEGAR,122,1920.33,0.18
MADISON.BOWEY,99,1423.23,-0.18
MAGNUS.PAAJARVI,196,2509.04,0.18
MARC-EDOUARD.VLASIC,241,5252.28,0
MARC.METHOT,131,2544.05,-0.04
MARCO.SCANDELLA,221,4437.4,-0.09
MARC.STAAL,233,4436.17,-0.14
MARCUS.FOLIGNO,242,3083,0.18
MARCUS.JOHANSSON,183,3056.83,0.18
MARCUS.KRUGER,193,2309.16,0.09
MARCUS.PETTERSSON,108,1718.42,0.04
MARCUS.SORENSEN,145,1706.76,0.22
MARIAN.GABORIK,102,1470.95,0.04
MARIAN.HOSSA,77,1306.65,0.36
MARIO.KEMPE,69,772.76,0.09
MARK.BARBERIO,124,2206.91,-0.09
MARK.BOROWIECKI,175,2550.27,-0.04
MARK.GIORDANO,243,5887.78,0.14
MARK.JANKOWSKI,149,1941.27,0.09
MARK.LETESTU,177,2421.15,0.04
MARKO.DANO,61,571.32,0.14
MARK.PYSYK,232,4307.28,0.04
MARK.SCHEIFELE,236,4974.67,0.5
MARK.STONE,223,4404.96,0.68
MARK.STREIT,71,1318.25,0
MARK.STUART,42,523.08,-0.14
MARKUS.GRANLUND,195,3150.93,0.09
MARKUS.HANNIKAINEN,86,773.22,0.04
MARKUS.NUTIVAARA,212,3334.09,0.04
MARTIN.FRK,95,937.65,-0.09
MARTIN.HANZAL,121,1978,0
MARTIN.MARINCIN,54,895.42,0.04
MATHEW.BARZAL,161,2878.1,0.4
MATHIEU.JOSEPH,68,768.1,0.45
MATHIEU.PERREAULT,224,3167.36,0.32
MATS.ZUCCARELLO,220,4219.64,0.14
MATT.BARTKOWSKI,46,660.49,-0.14
MATT.BELESKEY,67,838.6,-0.04
MATT.BENNING,215,3506.5,0.04
MATT.CALVERT,222,3055.27,0.04
MATT.CULLEN,250,3150.48,-0.09
MATT.DUCHENE,229,4239.38,0.22
MATT.DUMBA,200,4498.31,0.09
MATT.GRZELCYK,136,2416.1,0.04
MATT.HENDRICKS,133,1290.85,-0.04
MATTHEW.PECA,59,661.6,-0.22
MATTHEW.TKACHUK,227,3739.68,0.36
MATT.HUNWICK,134,2402.64,0
MATTIAS.EKHOLM,275,6493.62,0.04
MATTIAS.JANMARK,160,2573.94,0
MATT.IRWIN,201,2750.65,0
MATT.MARTIN,202,1911.84,0.04
MATT.MOULSON,95,1084.15,0.32
MATT.NIETO,200,2915.4,0
MATT.NISKANEN,259,5836.3,0
MATT.READ,100,1293.05,0.09
MATT.STAJAN,152,1801.72,0.22
MATT.TENNYSON,60,867.13,-0.4
MAX.DOMI,220,3736.7,0.09
MAXIME.LAJOIE,55,1038.48,-0.22
MAX.PACIORETTY,215,3987.37,0.22
MELKER.KARLSSON,230,2872.5,0.09
MICHAEL.AMADIO,80,780.88,0.18
MICHAEL.CHAPUT,109,1196.71,-0.18
MICHAEL.DEL ZOTTO,174,3391.25,0
MICHAEL.FROLIK,219,3497.81,0.09
MICHAEL.GRABNER,208,2994.84,0.22
MICHAEL.MATHESON,81,1705.88,-0.14
MICHAEL.RAFFL,198,2505.56,0.04
MICHAEL.RASMUSSEN,62,748.72,-0.04
MICHAEL.STONE,164,2939.73,-0.09
MICHAL.KEMPNY,198,3367.55,0.14
MICHEAL.FERLAND,225,3046.21,-0.04
MICHEAL.HALEY,174,1443.79,-0.18
MIIKKA.SALOMAKI,114,1176.88,0.09
