"id","name","gamesPlayed","timeOnIce","garSixty"
"9487b22b-edb0-4d0b-ade0-fefa227fc94c","brian dumoulin","263","5487.85","0.14"
"c0494579-f46d-40ed-ba5d-5a77f2ab4623","brian gibbons","122","1527.82","0.09"
"ac266ec5-0940-4966-9d12-a2401a2b21a4","brock boeser","136","2473.89","0.58"
"825d0615-ac3d-4f63-8dae-a25b63132ca7","brock mcginn","216","2978.38","0.09"
"e5de4f1e-d34d-4c5a-a19a-e7f26c891597","brock nelson","242","3898.94","0.04"
"545f0439-e022-4151-bcc5-a67d49d207ce","bryan little","238","3946.32","0.18"
"361c5393-02fc-4e46-af0c-2827dfd8529a","bryan rust","231","3540.7","0.22"
"dab52ca8-5772-41b5-868f-3037d22ab4b3","byron froese","54","618.95","0"
"4429cafb-7ba1-4873-b3c7-c5a0f8266ef6","cal clutterbuck","212","2860.41","0"
"79281593-01f4-434d-838e-1d3ecd937282","calle jarnkrok","253","3983.65","0.14"
"7159119e-79f8-4713-96b3-d8581b898c2c","calvin de haan","188","3599.02","0"
"f43570d7-977d-4117-b814-9d19bce5b407","cam atkinson","235","4467.16","0.36"
"51746ea7-51af-433b-9bc6-ea35253c6f5d","cam fowler","217","5325","0"
"2f34505a-df53-4eda-8811-07fc071ded29","carl dahlstrom","48","881.53","0"
"66ca8b93-0f52-498f-91c3-b1fc4737be05","carl gunnarsson","153","2272.47","0.09"
"f5ba89d3-3001-4372-929c-7ed9483d2216","carl hagelin","221","3349.31","0.18"
"03325ade-0b65-489a-a376-ea572b9f10c6","carl soderberg","241","3859.77","0"
"5e1b23b9-5e61-47c4-bc91-d522b9a28fcb","carter rowney","154","1734.19","0"
"7652af6e-9ca1-4a70-b195-5dbbcb87b750","casey cizikas","193","2638.27","0.18"
"489d4816-b968-4bcc-9640-8c159a53fc11","casey mittelstadt","81","1097.3","-0.14"
"c6cad983-1b3d-4a8e-b946-a7c1f3dbe5d5","casey nelson","84","1384.47","0.04"
"53af952c-ab38-4ec5-8993-1aaf961b01c0","cedric paquette","210","2387.57","0.04"
"05b432d8-5226-4844-a234-7ee381567eb4","chad ruhwedel","114","1833.71","0.04"
"e693e2bb-7b92-4063-8bde-180b4e935bfa","chandler stephenson","153","1909.41","-0.04"
"03cd70b8-1456-4ac7-a6af-0fa96b7ecc74","charles hudon","104","1383.58","0.09"
"29256fdc-f59e-4308-9b3b-ef200439116e","charlie coyle","237","3940.63","0.04"
"567e9604-0583-4e20-8ba8-9b7fe8403884","charlie mcavoy","134","3012.14","0.14"
"0a042e2e-91f4-47d0-a7e7-1e0ae2c27d38","chris kreider","222","3722.61","0.32"
"4676199a-0f8a-4f95-bd6b-13ae7942644a","chris tanev","149","2998.84","-0.04"
"7341f5b5-7df4-41d2-b653-75a870b90963","christian djoos","126","1679.27","0.09"
"c7bcc170-72d1-40e0-a328-9d40c45d2079","christian dvorak","173","2741.92","0"
"ea730f9b-cf53-4003-bb46-a8e62f7fd126","christian fischer","155","2090.48","0.22"
"e78c8a87-ae38-45c8-8231-71638e2e66aa","christian folin","164","2522.8","-0.04"
"ee42811f-d5b7-4022-9fb2-a40ce5f05587","christian jaros","58","834.23","-0.14"
"d475c423-6c60-4991-86f8-1b5516a2227d","christian wolanin","39","644.8","0.04"
"91dd0d79-0f73-4844-b470-63c0c9822f20","chris tierney","255","4031.36","0.04"
"ac1d7ead-b6ae-41ca-8cf5-5494a17d1f04","christoffer ehn","58","606.25","-0.09"
"8465b69d-bfd6-421e-b52c-ae3827469189","chris wagner","215","2660.6","-0.04"
"9802dead-c1d2-4079-9dc1-a5d6a5f0920a","chris wideman","132","1767.26","0"
"e19240bb-29de-4674-8a06-cf6a0026fd4e","claude giroux","249","5043.18","0.5"
"b61c452e-b0ff-490f-8f79-553c92dbcd7c","clayton keller","161","2926.29","0.09"
"ada8de44-0b99-419e-84f2-b59c2410a08d","cody ceci","251","5786.36","-0.14"
"e1118da1-8b70-46ed-a8cf-ab1a513cea89","cody eakin","235","3602.37","0"
"74ee3ef3-3534-4584-b280-4a974b77c4b2","cody goloubef","33","560.65","-0.04"
"d6d04e6c-8d9d-4525-b4a7-6330cb06809d","colby cave","51","619.85","0.14"
"a2e6bd91-686a-4eae-8a3f-23b270204595","colin miller","229","4201.28","0.14"
"b90a670f-5caa-43f2-9a31-090f1bfa9930","colin white","89","1375.15","0.04"
"721fd790-2266-4f47-8433-ea8835e211d4","colin wilson","208","2898.6","0.14"
"153c678e-9f38-4ce4-9a5a-c3f995bb13b5","colton parayko","254","5655.08","0.18"
"e94d29ea-c755-41b1-80c0-c4c9312dbed7","colton sceviour","213","2890.7","-0.04"
"1bfad3f5-eb0c-4b09-bbfb-96c747b34d2c","colton sissons","246","3647.38","0.14"
"2d13dc09-9af6-41cd-b1ec-87f98b1cbdb2","connor brown","257","3890.38","-0.09"
"c64bae68-1a54-451d-b7ba-e9d1db9e2515","connor carrick","152","2411.7","-0.09"
"8872f7b9-91f1-4a4a-9dd0-ff621188fe17","connor mcdavid","253","5535.37","0.76"
"2cfdf201-dd3c-4b33-bc20-edf1183a863c","connor murphy","201","3663.76","0"
"1e780cfa-601e-420e-a78a-c0f5d1da9708","conor garland","45","575.1","0"
"22a595d8-31d2-4c79-94e9-bc3b134aee69","conor sheary","250","3643.96","0.09"
"5b984cb0-534a-4723-90ea-e033f09f881a","corey perry","204","3535.72","0.18"
"56b26a8c-3fb7-4bd3-b45c-eb13e7bbc52f","craig smith","253","3725.66","0.18"
"f38213df-6ecb-48a0-8849-1e87eee22a44","curtis lazar","103","985.94","-0.09"
"0cb259ac-cd93-4268-91ce-81ecb80242dc","curtis mckenzie","53","575.12","0.36"
"6e6930f7-fbc5-416a-81af-53d90b71d1a4","dale weise","163","1926.13","0.04"
"ab0bf04f-e6b6-4584-a65a-105151bf000b","dalton prout","47","651.96","-0.14"
"19657d45-cc68-450e-91fc-d766f0e89ad5","damon severson","240","4959.33","-0.09"
"c33d61df-33cf-4c13-a733-14704f6a435b","dan hamhuis","213","4017.89","-0.04"
"0153899b-37e3-48d8-92c5-e34330690408","daniel carr","71","799.51","0.18"
"773adce8-df4f-4fed-ab5d-548c27e52184","daniel sprong","69","836.25","0.14"
"37efe685-89e5-4c81-9de7-5512d7f77c2a","danton heinen","169","2418.72","0.27"
"a1443e63-7002-40a0-adcb-79c7813d3e49","darnell nurse","219","4705.45","-0.14"
"946e91f9-10f9-49cd-80fe-5ab2b4ee3ceb","darren helm","183","2780.19","0.04"
"8287071a-ce1e-4fdd-960d-930696bb5bb7","david backes","217","3289.79","0.09"
"cf0a727f-1c99-4da2-b5e6-8aae0f61b77d","david kampf","106","1427.4","0.04"
"7a1bc952-e97c-4749-8933-5fd9ab7c3c20","david krejci","241","4241.05","0.18"
"ea2406b3-d1f0-4b58-b61f-00ba67c86380","david pastrnak","239","4378.18","0.68"
"910ef055-307c-4aec-8fd6-c931dc68eea5","david perron","232","3987.11","0.18"
"07716f6b-6030-49de-aa9b-4e7a7dc640fe","david savard","245","4983.33","0.04"
"1b378cf9-3594-4dd9-99cc-314d090d040a","denis malgin","147","1867.27","0.18"
"04e7ac52-2ee2-4c96-b37b-0eeabe468d61","dennis cholowski","52","949.17","0"
"71af649e-d814-4d1b-881f-dd7ad9edb3dd","derek forbort","239","4913.81","-0.14"
"8e4814a5-b6fc-4fec-9c61-9fa82d879ba0","derek grant","171","1857.36","0"
"1e373e9e-59e3-4007-8b25-2edcb89475be","derek ryan","226","3334.76","0.22"
"18ba5b23-d8ce-4c1f-8871-312fba74c026","derek stepan","244","4670.73","0.14"
"2217efb4-d581-4782-9a4e-18309fa1bfe9","derick brassard","251","4203.21","0.04"
"37228b65-1d19-4666-adf0-ed2373e4e124","derrick pouliot","142","2461.01","-0.14"
"fca2a8d9-14e6-40e5-80fd-1fce6785f5ee","deryk engelland","255","4975.42","-0.09"
"3fd0c303-090a-4a45-ab55-8809bda3dc14","devin shore","239","3495.47","0"
"c8ed89de-e4d4-4918-bed7-55251002df59","devon toews","45","805.4","0.09"
"6c1a8807-ce15-496c-92bb-ac60f2c37acf","dmitry kulikov","165","2958.59","-0.04"
"b5b8fc9b-7a16-4a44-a2ab-7213fad89501","dmitry orlov","279","6047.34","0.04"
"18af0c0a-6c42-4cac-b4c4-7c8f7da86df2","dominik kahun","78","1108.1","0.04"
"b1cd5abc-21a0-4f79-965a-852d8ea93ff6","dominik simon","110","1394.98","0.18"
"48371904-d85a-412b-8700-e799e5138526","dougie hamilton","246","5000.85","0.27"
"27202060-f42d-43c6-b899-f2dee81c9a65","drake caggiula","192","2653.98","0.04"
"24faf7a8-64df-4b5a-bb2f-46e5cffa9186","drew doughty","247","6640.16","0.04"
"25eb7831-e75b-4954-a058-2793f96e9ad5","duncan keith","244","5898.7","-0.18"
"b3b0cbed-ecce-4466-b9ff-a0dab16bf0d8","dustin brown","235","4407.29","0.14"
"a84b3a78-9ce9-47fb-85f4-7c53d1171980","dustin byfuglien","206","5300.32","0.04"
"a36cc51b-6193-4e3d-a753-358df2f57440","dylan demelo","172","2870.15","-0.09"
"e22a8868-c9bd-4c08-8ea2-a187b1ed51de","dylan larkin","235","4513.45","0.14"
"1f58e37d-1202-45ac-bfe3-d2f3626f7c39","dylan strome","102","1559.75","0.14"
"c04f97bd-61e2-494d-96ec-1b242d4b04e9","elias lindholm","232","4339.55","0.14"
"55138040-a9b6-4776-bd77-8a1ed4e839f7","elias pettersson","68","1243.53","0.94"
"f7e42ad4-015e-4c7d-9ae2-ddb09a321dae","eric staal","253","4604.08","0.36"
"80e4e87e-a319-4e8e-95c9-fbb0550ba045","erik cernak","56","1078.43","0.04"
"d8bfc2a4-8a13-4ebb-907c-3546144077d1","erik gudbranson","155","2901.08","0"
"42e69073-739a-4970-8da7-457e431993f2","erik gustafsson","110","2337.43","0.18"
"effb85cf-1b88-400a-8d30-eae6aa78eaee","erik haula","186","2925.64","0.27"
"cd736a39-5df2-4c40-9c82-85d90f1b1ac7","erik johnson","184","4258.77","-0.04"
"e8710bce-5185-41c5-b237-b23999c08163","erik karlsson","219","5775.2","0.09"
"182949f0-076c-4391-a759-f9c329692596","esa lindell","233","5312.59","-0.09"
"36c85728-a93f-48f3-84b9-0c8010dd3917","evander kane","230","4379.01","0.09"
"1ea99037-4e46-45e4-9868-cea2c422b11b","evan rodrigues","150","2198.75","0.14"
"2ef8d488-25b0-4ade-9e6c-77722ff8f734","evgeni malkin","240","4494.93","0.54"
"5af37ad1-d372-4ed1-a4da-dad3cab6204f","evgeny dadonov","154","2852.24","0.14"
"82d0d047-d435-4385-bc86-b7d7bf737888","evgeny kuznetsov","270","4981.53","0.09"
